PARLIAMENTARY_CONSTITUENCY,ASSEMBLY_CONSTITUENCY ,TOTAL_POPULATION,SC_POPULATION,ST_POPULATION,DISTRICT,DEVIATION
11-Dharwad,75. Kalghatgi ,216792,19606,14530,DHARWAD,
11-Dharwad,83. Shiggaon ,250759,26110,14852,HAVERI,
12-Uttara Kannada,14. Khanapur,243185,17114,10620,BELGAUM,
12-Uttara Kannada,15. Kittur,229746,14651,22768,BELGAUM,
12-Uttara Kannada,76. Haliyal ,208055,15892,3917,UTTARA KANNADA,
12-Uttara Kannada,77. Karwar ,249439,13884,4225,UTTARA KANNADA,
12-Uttara Kannada,78. Kumta,207634,12910,127,UTTARA KANNADA,
12-Uttara Kannada,79. Bhatkal,247861,16164,8703,UTTARA KANNADA,
12-Uttara Kannada,80. Sirsi,232649,18551,1694,UTTARA KANNADA,
12-Uttara Kannada,81. Yellapur,208006,24495,5115,UTTARA KANNADA,
13-Davanagere,103. Jagalur (ST),208085,51137,45403,DAVANAGERE,
13-Davanagere,104.  Harapanahalli,219591,44084,35130,DAVANAGERE,
13-Davanagere,105.  Harihar,245654,31203,20892,DAVANAGERE,
13-Davanagere,106.  Davanagere North,236726,30647,17486,DAVANAGERE,
13-Davanagere,107.  Davanagere South,212111,25226,12825,DAVANAGERE,
13-Davanagere,108.  Mayakonda (SC),230278,61408,35286,DAVANAGERE,
13-Davanagere,109. Channagiri ,215915,46126,26805,DAVANAGERE,
13-Davanagere,110.  Honnali,222592,43396,15874,DAVANAGERE,
14-Shimoga,111. Shimoga Rural (SC),250243,60257,16128,SHIMOGA,
14-Shimoga,112. Bhadravati ,261445,49793,5507,SHIMOGA,
14-Shimoga,113. Shimoga,247986,27138,6235,SHIMOGA,
14-Shimoga,114. Tirthahalli ,221488,23391,4987,SHIMOGA,
14-Shimoga,115. Shikaripura,213590,47591,11988,SHIMOGA,
14-Shimoga,116. Sorab,215767,37287,7616,SHIMOGA,
14-Shimoga,117. Sagar,232026,24062,3536,SHIMOGA,
14-Shimoga,118. Byndoor ,244883,12746,8916,UDUPI,
15-Udupi Chikmagalur,119. Kundapura,224574,12973,4162,UDUPI,
15-Udupi Chikmagalur,120. Udupi,231647,12730,10390,UDUPI,
15-Udupi Chikmagalur,121. Kapu,205541,12004,7832,UDUPI,
15-Udupi Chikmagalur,122. Karkal,205598,17236,10313,UDUPI,
15-Udupi Chikmagalur,123 . Sringeri,206495,35339,9687,CHICKMAGALUR,
15-Udupi Chikmagalur,124. Mudigere (SC),224546,58836,16024,CHICKMAGALUR,
15-Udupi Chikmagalur,125. Chikmagalur ,248675,43466,3147,CHICKMAGALUR,
15-Udupi Chikmagalur,126. Tarikere,224170,48581,7922,CHICKMAGALUR,
16-Hassan,127. Kadur,237019,46912,4239,CHICKMAGALUR,
16-Hassan,193. Sharavanabelagola ,235016,24900,1757,HASSAN,
16-Hassan,194. Arsikere,250448,50275,7824,HASSAN,
16-Hassan,195. Belur,236351,56229,4661,HASSAN,
16-Hassan,196. Hassan,223559,25072,1924,HASSAN,
16-Hassan,197. Hole Narsipur,250144,37368,2415,HASSAN,
16-Hassan,198. Arkalgud,266197,51559,4205,HASSAN,
16-Hassan,199. Sakleshpur (SC),259954,66323,3665,HASSAN,
17-Dakshina Kannada,200. Belthangadi,246494,22275,12716,DAKSHINA KANNADA,
17-Dakshina Kannada,201.Moodabidri,220090,18129,5290,DAKSHINA KANNADA,
17-Dakshina Kannada,202. Mangalore City North,252684,11276,3737,DAKSHINA KANNADA,
17-Dakshina Kannada,203. Mangalore City South,244955,8402,1744,DAKSHINA KANNADA,
17-Dakshina Kannada,204. Mangalore,224879,5049,1128,DAKSHINA KANNADA,
17-Dakshina Kannada,205. Bantval ,238788,12219,8385,DAKSHINA KANNADA,
17-Dakshina Kannada,206. Puttur ,233723,22223,16844,DAKSHINA KANNADA,
17-Dakshina Kannada,207. Sullia (SC),236117,31587,13092,DAKSHINA KANNADA,
18-Chitradurga (SC),97. Molakalmuru (ST),266412,54614,99391,CHITRADURGA,
18-Chitradurga (SC),98. Challakere (ST),240129,53611,55453,CHITRADURGA,
18-Chitradurga (SC),99. Chitradurga,259281,56635,33031,CHITRADURGA,
18-Chitradurga (SC),100. Hiriyur,264719,63449,25462,CHITRADURGA,
18-Chitradurga (SC),101. Hosadurga,219445,41498,16854,CHITRADURGA,
18-Chitradurga (SC),102. Holalkere (SC),267910,66680,36044,CHITRADURGA,
18-Chitradurga (SC),136. Sira,256561,53955,20478,TUMKUR,
18-Chitradurga (SC),137. Pavagada (SC),246255,66693,40579,TUMKUR,
19-Tumkur,128. Chiknayakanhalli,254534,47226,23461,TUMKUR,
19-Tumkur,129. Tiptur,217124,30484,7810,TUMKUR,
19-Tumkur,130. Turuvekere,218791,27966,5326,TUMKUR,
19-Tumkur,132. Tumkur City,248929,29155,9512,TUMKUR,
19-Tumkur,133. Tumkur Rural,225532,45830,15539,TUMKUR,
19-Tumkur,134. Koratagere (SC),237019,53939,23424,TUMKUR,
19-Tumkur,135. Gubbi,211919,35843,17204,TUMKUR,
19-Tumkur,138. Madhugiri ,232017,52290,28032,TUMKUR,
20-Mandya,186. Malavalli (SC),281809,57867,1538,MANDYA,
20-Mandya,187. Maddur ,242935,31428,1020,MANDYA,
20-Mandya,188. Melukote,237512,28403,1959,MANDYA,
20-Mandya,189. Mandya,269426,36106,2044,MANDYA,
20-Mandya,190. Shrirangapattana,245160,34597,3361,MANDYA,
20-Mandya,191. Nagamangala ,238618,28208,2091,MANDYA,
20-Mandya,192. Krishnarajpet,248245,30604,5180,MANDYA,
20-Mandya,211. Krishnarajanagara ,239199,34881,15600,MYSORE,
21-Mysore ,208. Madikeri ,272478,40145,11230,KODAGU,
21-Mysore ,209. Virajpet ,276083,27277,34885,KODAGU,
21-Mysore ,210. Piriyapatna ,224254,36333,17270,MYSORE,
21-Mysore ,212. Hunsur,253926,46140,39239,MYSORE,
21-Mysore ,215. Chamundeshwari,236846,33251,28975,MYSORE,
21-Mysore ,216. Krishnaraja,236083,31473,7673,MYSORE,
21-Mysore ,217. Chamaraja,250577,22640,8148,MYSORE,
21-Mysore ,218 Narasimharaja,245558,30079,11251,MYSORE,
22-Chamrajnagar (SC),213. Heggadadevankote (ST),245930,66372,51482,MYSORE,
22-Chamrajnagar (SC),214. Nanjangud (SC),237698,53868,31551,MYSORE,
22-Chamrajnagar (SC),219. Varuna ,246706,55526,30196,MYSORE,
22-Chamrajnagar (SC),220. T.Narasipur (SC),224250,57077,29966,MYSORE,
22-Chamrajnagar (SC),221. Hanur,240045,63706,23786,CHAMARAJANAGAR,
22-Chamrajnagar (SC),222. Kollegal (SC),244974,75398,31992,CHAMARAJANAGAR,
22-Chamrajnagar (SC),223. Chamarajanagar ,237519,52033,23083,CHAMARAJANAGAR,
22-Chamrajnagar (SC),224. Gundlupet ,242924,46487,27250,CHAMARAJANAGAR,
23-Bangalore Rural,131. Kunigal,236030,30663,2454,TUMKUR,
23-Bangalore Rural,154. Rajarajeshwarinagar,259166,31524,5938,BANGALORE,
23-Bangalore Rural,176. Bangalore South,246115,44217,5179,BANGALORE,
23-Bangalore Rural,177. Anekal (SC),230054,57987,3121,BANGALORE,
23-Bangalore Rural,182. Magadi ,257322,46870,7466,BANGALORE RURAL,
23-Bangalore Rural,183. Ramanagaram,236817,44831,3693,BANGALORE RURAL,
23-Bangalore Rural,184. Kanakapura,246962,46659,4598,BANGALORE RURAL,
23-Bangalore Rural,185. Channapatna,252574,44036,1165,BANGALORE RURAL,
24-Bangalore North,151. K.R.Pura,242402,40513,3150,BANGALORE,
24-Bangalore North,152. Byatarayanapura ,226351,40737,7428,BANGALORE,
24-Bangalore North,153. Yeshvanthapura,208369,36419,5781,BANGALORE,
24-Bangalore North,155. Dasarahalli ,235145,22826,3873,BANGALORE,
24-Bangalore North,156. Mahalakshmi Layout,244397,21468,2562,BANGALORE,
